epoch,val_accuracy,train_accuracy,loss
0,1.7082433435942486,1.9936022103469797,3.2867571196471133
1,1.7112532489642005,1.7563544456233897,1.405183394926959
2,1.7650904715536144,1.7551944216359316,1.2636658189556913
3,1.7762461942270067,1.7512381535037989,1.1866115772379002
4,1.7978703197749826,1.7558169555682568,1.140548620829338
5,1.8042203377554398,1.7585814949672576,1.1036262530791998
6,1.802623443268008,1.767230404578346,1.0701016641008296
7,1.8128950789209985,1.7688984688103448,1.0427061947921337
8,1.8121604773210858,1.7726058596833987,1.018250788505996
9,1.820674264765431,1.774785644022874,0.9967235104411111
10,1.8298558193614256,1.7837722572008325,0.9777106727019185
11,1.8400170099439583,1.7969794003315904,0.960483901418397
12,1.8546493937833242,1.8053702500267501,0.9443994186370569
13,1.857864942815577,1.8120571230208473,0.9301214386731851
14,1.8683119052953534,1.8121664480185662,0.9181540226750491
